MCG,GVH,LIP,CHG,AAC,ALM1,ALM2,Actual_Class,Predicted_Class,Prediction_Probability,Prediction_Match
0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp,cp,0.989746610323588,True
0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp,cp,0.995715061823527,True
0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp,cp,0.9949580430984497,True
0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp,cp,0.9843212366104126,True
0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp,cp,0.9958238204320272,True
0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp,cp,0.9947483142217001,True
0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp,cp,0.9971946080525717,True
0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp,cp,0.9701421658198038,True
0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp,cp,0.9970976114273071,True
0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp,cp,0.993026614189148,True
0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp,cp,0.9897757371266683,True
0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp,cp,0.9959624210993449,True
0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp,cp,0.945848822593689,True
0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp,cp,0.9953648646672567,True
0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp,cp,0.991292397181193,True
0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp,cp,0.983144998550415,True
0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp,cp,0.9771829843521118,True
0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp,cp,0.9923811356226603,True
0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp,cp,0.9952381451924642,True
0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp,cp,0.9777794281641642,True
0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp,cp,0.991446336110433,True
0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp,cp,0.5273907780647278,True
0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp,cp,0.997168223063151,True
0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp,cp,0.98135773340861,True
0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp,cp,0.99665900071462,True
0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp,cp,0.9794588088989258,True
0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp,cp,0.9928155740102133,True
0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp,cp,0.9921527703603109,True
0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp,cp,0.7426968018213908,True
0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp,cp,0.9935445785522461,True
0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp,cp,0.9851871728897095,True
0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp,cp,0.9939084053039551,True
0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp,cp,0.9967419703801473,True
0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp,cp,0.9966301520665487,True
0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp,cp,0.9882460832595825,True
0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp,cp,0.9595269362131754,True
0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp,cp,0.9951881567637125,True
0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp,cp,0.9849471648534139,True
0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp,cp,0.9934488932291666,True
0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp,cp,0.992629607518514,True
0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp,cp,0.9530889590581259,True
0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp,cp,0.9963182210922241,True
0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp,cp,0.9500195582707723,True
0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp,cp,0.9947122732798258,True
0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp,cp,0.980380654335022,True
0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp,cp,0.9957665205001831,True
0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp,cp,0.9933853149414062,True
0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp,cp,0.9950409332911173,True
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp,cp,0.9929456313451132,True
0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp,cp,0.9962290128072103,True
0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp,cp,0.9935755332310995,True
0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp,cp,0.9959460894266764,True
0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp,cp,0.9818265040715536,True
0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp,cp,0.9952873388926188,True
0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp,cp,0.9923028548558553,True
0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp,cp,0.997012217839559,True
0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp,cp,0.9970882336298624,True
0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp,cp,0.9951100746790568,True
0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp,cp,0.976300040880839,True
0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp,cp,0.9695779879887899,True
0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp,cp,0.939700722694397,True
0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp,cp,0.9912219047546387,True
0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp,cp,0.9950679540634155,True
0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp,cp,0.9958125750223795,True
0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp,cp,0.9958749612172445,True
0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp,cp,0.9873342911402384,True
0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp,cp,0.9947364330291748,True
0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp,cp,0.9914545218149821,True
0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp,cp,0.9947411219278971,True
0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp,cp,0.9959474404652914,True
0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp,pp,0.4572376807530721,False
0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp,cp,0.9961803754170736,True
0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp,cp,0.9609304269154867,True
0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp,cp,0.6312891642252604,True
0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp,cp,0.9884677330652872,True
0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp,cp,0.984512726465861,True
0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp,cp,0.9309060176213583,True
0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp,cp,0.9813636144002279,True
0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp,cp,0.9597111543019613,True
0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp,cp,0.9968381325403849,True
0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp,cp,0.9964300791422526,True
0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp,cp,0.9941951831181844,True
0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp,cp,0.9923261404037476,True
0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp,cp,0.9959176778793335,True
0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp,cp,0.9824033975601196,True
0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp,cp,0.9744983514149984,True
0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp,cp,0.9556575616200765,True
0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp,cp,0.9907817443211874,True
0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp,cp,0.9962296485900879,True
0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp,cp,0.9934991598129272,True
0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp,cp,0.9811963240305582,True
0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp,cp,0.997136394182841,True
0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp,cp,0.964948852856954,True
0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp,cp,0.993918776512146,True
0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp,cp,0.9904578924179077,True
0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp,cp,0.9968738953272501,True
0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp,cp,0.9926819801330566,True
0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp,cp,0.8044973214467367,True
0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp,cp,0.9961059093475342,True
0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp,cp,0.9750444094340006,True
0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp,cp,0.9951638778050741,True
0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp,cp,0.9940147002538046,True
0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp,cp,0.9973709583282471,True
0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp,cp,0.9950780471165975,True
0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp,cp,0.9926102956136068,True
0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp,cp,0.9810738960901896,True
0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp,cp,0.9972771406173706,True
0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp,cp,0.9916053613026937,True
0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp,cp,0.9765090545018514,True
0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp,cp,0.9920859734217325,True
0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp,cp,0.978580117225647,True
0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp,cp,0.9921632607777914,True
0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp,cp,0.9964197476704916,True
0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp,cp,0.9843001763025919,True
0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp,cp,0.9960343440373739,True
0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp,cp,0.9742041428883871,True
0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp,cp,0.9943220218022665,True
0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp,cp,0.9819138844807943,True
0.06,0.61,0.48,0.5,0.49,0.92,0.37,im,im,0.9600194692611694,True
0.44,0.52,0.48,0.5,0.43,0.47,0.54,im,cp,0.9848773082097372,False
0.63,0.47,0.48,0.5,0.51,0.82,0.84,im,im,0.902398149172465,True
0.23,0.48,0.48,0.5,0.59,0.88,0.89,im,im,0.9879919290542603,True
0.34,0.49,0.48,0.5,0.58,0.85,0.8,im,im,0.9853099981943766,True
0.43,0.4,0.48,0.5,0.58,0.75,0.78,im,im,0.9662960370381674,True
0.46,0.61,0.48,0.5,0.48,0.86,0.87,im,im,0.9897880554199219,True
0.27,0.35,0.48,0.5,0.51,0.77,0.79,im,im,0.8121633927027384,True
0.52,0.39,0.48,0.5,0.65,0.71,0.73,im,im,0.9730894962946574,True
0.29,0.47,0.48,0.5,0.71,0.65,0.69,im,im,0.9930858612060547,True
0.55,0.47,0.48,0.5,0.57,0.78,0.8,im,im,0.9579156637191772,True
0.12,0.67,0.48,0.5,0.74,0.58,0.63,im,im,0.698229988416036,True
0.4,0.5,0.48,0.5,0.65,0.82,0.84,im,im,0.9891560077667236,True
0.73,0.36,0.48,0.5,0.53,0.91,0.92,im,im,0.8203800519307455,True
0.84,0.44,0.48,0.5,0.48,0.71,0.74,im,im,0.7364379167556763,True
0.48,0.45,0.48,0.5,0.6,0.78,0.8,im,im,0.9826058149337769,True
0.54,0.49,0.48,0.5,0.4,0.87,0.88,im,im,0.9880812168121338,True
0.48,0.41,0.48,0.5,0.51,0.9,0.88,im,im,0.9893982807795206,True
0.5,0.66,0.48,0.5,0.31,0.92,0.92,im,im,0.9795339107513428,True
0.72,0.46,0.48,0.5,0.51,0.66,0.7,im,im,0.9236823717753092,True
0.47,0.55,0.48,0.5,0.58,0.71,0.75,im,im,0.9745445251464844,True
0.33,0.56,0.48,0.5,0.33,0.78,0.8,im,im,0.9878896474838257,True
0.64,0.58,0.48,0.5,0.48,0.78,0.73,im,im,0.4438477357228597,True
0.54,0.57,0.48,0.5,0.56,0.81,0.83,im,im,0.9741525252660116,True
0.47,0.59,0.48,0.5,0.52,0.76,0.79,im,im,0.98630690574646,True
0.63,0.5,0.48,0.5,0.59,0.85,0.86,im,im,0.9108187754948934,True
0.49,0.42,0.48,0.5,0.53,0.79,0.81,im,im,0.9558929602305094,True
0.31,0.5,0.48,0.5,0.57,0.84,0.85,im,im,0.9906264940897623,True
0.74,0.44,0.48,0.5,0.55,0.88,0.89,im,im,0.9185996850331625,True
0.33,0.45,0.48,0.5,0.45,0.88,0.89,im,im,0.9927958250045776,True
0.45,0.4,0.48,0.5,0.61,0.74,0.77,im,im,0.9680072069168091,True
0.71,0.4,0.48,0.5,0.71,0.7,0.74,im,im,0.892522931098938,True
0.5,0.37,0.48,0.5,0.66,0.64,0.69,im,im,0.9451565742492676,True
0.66,0.53,0.48,0.5,0.59,0.66,0.66,im,im,0.9219923416773478,True
0.6,0.61,0.48,0.5,0.54,0.67,0.71,im,im,0.9392085075378418,True
0.83,0.37,0.48,0.5,0.61,0.71,0.74,im,im,0.8049442768096924,True
0.34,0.51,0.48,0.5,0.67,0.9,0.9,im,im,0.9889525969823202,True
0.63,0.54,0.48,0.5,0.65,0.79,0.81,im,im,0.44144195980495876,True
0.7,0.4,0.48,0.5,0.56,0.86,0.83,im,im,0.7232843637466431,True
0.6,0.5,1.0,0.5,0.54,0.77,0.8,im,im,0.5794342358907064,True
0.16,0.51,0.48,0.5,0.33,0.39,0.48,im,cp,0.9924399058024088,False
0.74,0.7,0.48,0.5,0.66,0.65,0.69,im,im,0.9371671279271444,True
0.2,0.46,0.48,0.5,0.57,0.78,0.81,im,im,0.9862187306086222,True
0.89,0.55,0.48,0.5,0.51,0.72,0.76,im,im,0.7343817154566447,True
0.7,0.46,0.48,0.5,0.56,0.78,0.73,im,im,0.8919233878453573,True
0.12,0.43,0.48,0.5,0.63,0.7,0.74,im,im,0.9851418336232504,True
0.61,0.52,0.48,0.5,0.54,0.67,0.52,im,im,0.9621955951054891,True
0.33,0.37,0.48,0.5,0.46,0.65,0.69,im,im,0.9778464237848917,True
0.63,0.65,0.48,0.5,0.66,0.67,0.71,im,im,0.9451567729314169,True
0.41,0.51,0.48,0.5,0.53,0.75,0.78,im,im,0.9883291323979696,True
0.34,0.67,0.48,0.5,0.52,0.76,0.79,im,im,0.9843304951985677,True
0.58,0.34,0.48,0.5,0.56,0.87,0.81,im,im,0.654619018236796,True
0.59,0.56,0.48,0.5,0.55,0.8,0.82,im,im,0.9639267126719157,True
0.51,0.4,0.48,0.5,0.57,0.62,0.67,im,im,0.9543156623840332,True
0.5,0.57,0.48,0.5,0.71,0.61,0.66,im,im,0.9175179799397787,True
0.6,0.46,0.48,0.5,0.45,0.81,0.83,im,im,0.959728995958964,True
0.37,0.47,0.48,0.5,0.39,0.76,0.79,im,im,0.9875734647115072,True
0.58,0.55,0.48,0.5,0.57,0.7,0.74,im,im,0.8477828900019327,True
0.36,0.47,0.48,0.5,0.51,0.69,0.72,im,im,0.994582454363505,True
0.39,0.41,0.48,0.5,0.52,0.72,0.75,im,im,0.9752624034881592,True
0.35,0.51,0.48,0.5,0.61,0.71,0.74,im,im,0.9871910015741984,True
0.31,0.44,0.48,0.5,0.5,0.79,0.82,im,im,0.9905382792154948,True
0.61,0.66,0.48,0.5,0.46,0.87,0.88,im,im,0.9648670355478922,True
0.48,0.49,0.48,0.5,0.52,0.77,0.71,im,im,0.9917883475621542,True
0.11,0.5,0.48,0.5,0.58,0.72,0.68,im,im,0.9938081502914429,True
0.31,0.36,0.48,0.5,0.58,0.94,0.94,im,im,0.9764078060785929,True
0.68,0.51,0.48,0.5,0.71,0.75,0.78,im,im,0.7676296234130859,True
0.69,0.39,0.48,0.5,0.57,0.76,0.79,im,im,0.5228609111573961,True
0.52,0.54,0.48,0.5,0.62,0.76,0.79,im,im,0.9558026790618896,True
0.46,0.59,0.48,0.5,0.36,0.76,0.23,im,im,0.9657683372497559,True
0.36,0.45,0.48,0.5,0.38,0.79,0.17,im,im,0.9783960978190104,True
0.0,0.51,0.48,0.5,0.35,0.67,0.44,im,im,0.9795900583267212,True
0.1,0.49,0.48,0.5,0.41,0.67,0.21,im,im,0.9742007652918497,True
0.3,0.51,0.48,0.5,0.42,0.61,0.34,im,im,0.8996110757191976,True
0.61,0.47,0.48,0.5,0.0,0.8,0.32,im,im,0.9670645395914713,True
0.63,0.75,0.48,0.5,0.64,0.73,0.66,im,im,0.8686472574869791,True
0.71,0.52,0.48,0.5,0.64,1.0,0.99,im,im,0.690703272819519,True
0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS,pp,0.7255445453855726,False
0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS,im,0.41286866532431704,False
0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL,pp,0.2960224548975627,False
0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL,im,0.31869139273961383,False
0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU,imU,0.5766335593329536,True
0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU,imU,0.9826570749282837,True
0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU,imU,0.9403924544652303,True
0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU,imU,0.9475464820861816,True
0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU,imU,0.9712723890940348,True
0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU,imU,0.9796658754348755,True
0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU,imU,0.8295381466547648,True
0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU,imU,0.7372943162918091,True
0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU,imU,0.8909553289413452,True
0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU,imU,0.9039508501688639,True
0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU,imU,0.8321134381824069,True
0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU,imU,0.8964678446451823,True
0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU,imU,0.9264068603515625,True
0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU,imU,0.9417826334635416,True
0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU,imU,0.9222635428110758,True
0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU,imU,0.7099978526433309,True
0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU,imU,0.7249254518085055,True
0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU,imU,0.6370820469326443,True
0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU,imU,0.9096954663594564,True
0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU,imU,0.957820455233256,True
0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU,imU,0.9096975723902384,True
0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU,im,0.9739096959431967,False
0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU,imU,0.9539684057235718,True
0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU,im,0.4971952438354492,False
0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU,imU,0.8102931976318359,True
0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU,imU,0.97756294409434,True
0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU,imU,0.8554364045461019,True
0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU,imU,0.4881824254989624,True
0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU,imU,0.94510551293691,True
0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU,imU,0.9033454259236654,True
0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU,imU,0.838332454363505,True
0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU,imU,0.8937583764394125,True
0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU,imU,0.9129315614700317,True
0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU,imU,0.5188875595728556,True
0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU,imU,0.9693096081415812,True
0.78,0.68,0.48,0.5,0.83,0.4,0.29,om,om,0.9846392075220743,True
0.63,0.69,0.48,0.5,0.65,0.41,0.28,om,om,0.960877537727356,True
0.67,0.88,0.48,0.5,0.73,0.5,0.25,om,om,0.9488657712936401,True
0.61,0.75,0.48,0.5,0.51,0.33,0.33,om,om,0.40285082658131915,True
0.67,0.84,0.48,0.5,0.74,0.54,0.37,om,om,0.9610004425048828,True
0.74,0.9,0.48,0.5,0.57,0.53,0.29,om,om,0.5152295033137003,True
0.73,0.84,0.48,0.5,0.86,0.58,0.29,om,om,0.6315046946207682,True
0.75,0.76,0.48,0.5,0.83,0.57,0.3,om,om,0.9650792280832926,True
0.77,0.57,0.48,0.5,0.88,0.53,0.2,om,om,0.9356391429901123,True
0.74,0.78,0.48,0.5,0.75,0.54,0.15,om,om,0.9670809904734293,True
0.68,0.76,0.48,0.5,0.84,0.45,0.27,om,om,0.9820881287256876,True
0.56,0.68,0.48,0.5,0.77,0.36,0.45,om,om,0.931126872698466,True
0.65,0.51,0.48,0.5,0.66,0.54,0.33,om,om,0.8596963087717692,True
0.52,0.81,0.48,0.5,0.72,0.38,0.38,om,om,0.40661029020945233,True
0.64,0.57,0.48,0.5,0.7,0.33,0.26,om,om,0.9085684617360433,True
0.6,0.76,1.0,0.5,0.77,0.59,0.52,om,om,0.731886108716329,True
0.69,0.59,0.48,0.5,0.77,0.39,0.21,om,om,0.9393930037816366,True
0.63,0.49,0.48,0.5,0.79,0.45,0.28,om,om,0.9327423175175985,True
0.71,0.71,0.48,0.5,0.68,0.43,0.36,om,om,0.794144074122111,True
0.68,0.63,0.48,0.5,0.73,0.4,0.3,om,om,0.9400998751322428,True
0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL,omL,0.4546806414922078,True
0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL,omL,0.5343280898200141,True
0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL,omL,0.6877373589409722,True
0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL,omL,0.7192906671100192,True
0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL,omL,0.6275222169028388,True
0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp,pp,0.7695398065778943,True
0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp,pp,0.968793789545695,True
0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp,pp,0.9780801137288412,True
0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp,pp,0.8053697347640991,True
0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp,pp,0.9772761662801107,True
0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp,pp,0.9162604808807373,True
0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp,pp,0.9911092122395834,True
0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp,pp,0.9165832996368408,True
0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp,pp,0.9908239444096884,True
0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp,pp,0.9778317213058472,True
0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp,pp,0.9583117167154948,True
0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp,pp,0.9611035188039144,True
0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp,pp,0.9704625209172567,True
0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp,pp,0.9696500301361084,True
0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp,pp,0.9796767234802246,True
0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp,pp,0.4277787274784512,True
0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp,cp,0.777258038520813,False
0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp,pp,0.9919225772221884,True
0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp,pp,0.46671321656968856,True
0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp,pp,0.8219598929087321,True
0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp,pp,0.9792794783910116,True
0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp,pp,0.9523662726084391,True
0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp,pp,0.9065380493799845,True
0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp,pp,0.9460148811340332,True
0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp,pp,0.9911626974741617,True
0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp,pp,0.9779805342356364,True
0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp,pp,0.7789803478452894,True
0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp,pp,0.7604256868362427,True
0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp,pp,0.9823107719421387,True
